ID,Code,Name
64,PBACI,"PHILIPPINE BRITISH ASSURANCE COMPANY, INC"
65,PDAX,PHILIPPINE DIGITAL ASSET EXCHANGE (PDAX) INC.
66,PNP,PHILIPPINE NATIONAL POLICE
67,PISC,PIONEER INSURANCE & SURETY CORPORATION
68,PICI,PRIME INFRASTRUCTURE CAPITAL INC.
69,PMBC,PRIME METRO BMD CORPORATION
70,PA,PUNONGBAYAN & ARAULLO
71,PVSPI,PV SINAG POWER INC
72,RBC,ROBINSONS BANK CORP.
73,SCSPI,SAN CARLOS SUN POWER INC
74,SMC,SAN MIGUEL CORPORATION
75,SEI,SCIENCE EDUC INST
76,SBC,SECURITY BANK CORPORATION
77,SMPC,SEMIRARA MINING AND POWER CORPORATION
78,SET,SENATE ELECTORAL TRIBUNAL
79,SCPI,SHOPBACK COMPANY PHILIPPINES INC.
80,SCC,SKY CABLE CORPORATION
81,SHCC,SM HOTELS AND CONVENTIONS CORP
82,SPHINE,SM PRIME HOLDINGS INC-NORTH EDSA
83,SPHIPS,SM PRIME HOLDINGS INC-PICO SANDS
84,SPHITV,SM PRIME HOLDINGS INC-TAAL VISTA
85,SMITS,SMITS INC.
86,SAPBI,SN ABOITIZ POWER - BENGUET INC.
87,SAPMI,SN ABOITIZ POWER - MAGAT INC.
88,SSS,SOCIAL SECURITY SYSTEM
89,SPMI,SPECIALTY PULP MANUFACTURING INC
90,SICI,STERLING INSURANCE COMPANY INC
91,SC,STRADCOM CORPORATION
92,SEC,SUBIC ENERZONE CORPORATION
93,TILACL,THE INSULAR LIFE ASSURANCE COMPANY LTD.
94,TLI,"THERMA LUZON, INC."
95,TMI,"THERMA MOBILE, INC."
96,TRLEI,"TIGER RESORT, LEISURE & ENTERTAINMENT, INC."
97,TPC,TPSC PHILIPPINES CORPORATION
98,TPI,TRAXION PAY INC
99,TTI,TRAXION TECH INC
100,TSPI,"TSM SHIPPING (PHILS.), INC."
101,UBX,UBX PHILIPPINES CORPORATION
102,UDBI,UNION DIGITAL BANK INC.
103,UOTP,UNIONBANK OF THE PHILIPPINES
104,UASSI,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC.
105,UOTPD,UNIVERSITY OF THE PHILIPPINES DILIMAN
106,VBI,VENN BIOSCIENCES INCORPORATED
107,VPI,VILLARICA PAWNSHOP INC.
108,VECI,"VISAYAN ELECTRIC CO, INC."
